CODIGO;DESCRIPCION GENERAL;DESCRIPCION DE ELECCION;DESCRIPCION ESPECIFICA;PRECIO
554;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA GREEN OLIVE: La Rioja;Aceite de Oliva VIRGEN EXTRA x 500 Ml. PET;$ 12.644
820;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA GREEN OLIVE: La Rioja;Aceite de Oliva VIRGEN EXTRA x 1000 Ml. VIDRIO;$ 28.718
556;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA GREEN OLIVE: La Rioja;Aceite de Oliva VIRGEN EXTRA x 1000 Ml. PET;$ 24.241
557;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA GREEN OLIVE: La Rioja;Aceite de Oliva VIRGEN EXTRA x 2 Lt. PET;$ 48.065
558;ACEITES DE OLIVA;ACEITE DE OLIVA 100% VIRGEN EXTRA GREEN OLIVE: La Rioja;Aceite de Oliva VIRGEN EXTRA x 5 Lt. PET;$ 116.795
989;VINOS; TALIANTINO;Vino TALIANTINO Red Blend x 750 Ml. - San Juan;$ 0
990;VINOS; TALIANTINO;Vino TALIANTINO GRAN RESERVA x 750 Ml. - San Juan;$ 12.785
1780;AGUA DE MESA;AGUA DE MESA BLUE WATER:;Agua de Mesa BLUE WATER x 500 Ml. PET;$ 0
1781;AGUA DE MESA;AGUA DE MESA BLUE WATER:;Agua de Mesa BLUE WATER x 1,500 Ml. PET;$ 0
1782;AGUA DE MESA;AGUA DE MESA BLUE WATER:;Agua de Mesa BLUE WATER x 5 Lts. PET;$ 0
1783;AGUA DE MESA;AGUA DE MESA BLUE WATER:;Agua de Mesa BLUE WATER x 6,5 Lts. PET;$ 0
1784;AGUA DE MESA;AGUA DE MESA BLUE WATER:;Agua de Mesa BLUE WATER x 8 Lts. PET;$ 3.842
1785;AGUA DE MESA;AGUA DE MESA BLUE WATER:;Agua de Mesa BLUE WATER x 10 Lts. PET;$ 4.186
